Deals Played,PIMC Hands,PIMC Wins,Basic Hands,Basic Wins,PIMC Win Rate,Basic Win Rate
10,10,6,10,6,0.6,0.6
20,20,7,20,10,0.35,0.5
30,30,10,30,15,0.3333333333333333,0.5
40,40,14,41,20,0.35,0.4878048780487805
50,50,20,54,25,0.4,0.46296296296296297
60,60,23,64,29,0.38333333333333336,0.453125
70,71,27,75,34,0.38028169014084506,0.4533333333333333
80,82,31,85,36,0.3780487804878049,0.4235294117647059
90,92,34,95,43,0.3695652173913043,0.45263157894736844
100,102,41,105,47,0.4019607843137255,0.44761904761904764
110,112,44,115,50,0.39285714285714285,0.43478260869565216
120,123,50,125,52,0.4065040650406504,0.416
130,133,54,135,55,0.40601503759398494,0.4074074074074074
140,145,61,145,57,0.4206896551724138,0.3931034482758621
150,155,66,155,61,0.4258064516129032,0.3935483870967742
160,165,70,165,64,0.42424242424242425,0.3878787878787879
170,175,75,175,65,0.42857142857142855,0.37142857142857144
180,185,79,185,68,0.42702702702702705,0.3675675675675676
190,195,81,195,72,0.4153846153846154,0.36923076923076925
200,205,85,205,76,0.4146341463414634,0.37073170731707317
210,215,90,216,84,0.4186046511627907,0.3888888888888889
220,225,92,226,87,0.4088888888888889,0.38495575221238937
230,235,97,236,90,0.4127659574468085,0.3813559322033898
240,246,100,246,95,0.4065040650406504,0.3861788617886179
250,257,105,257,103,0.4085603112840467,0.40077821011673154
260,267,109,268,107,0.40823970037453183,0.39925373134328357
270,277,109,278,112,0.3935018050541516,0.4028776978417266
280,287,114,288,115,0.397212543554007,0.3993055555555556
290,297,120,298,119,0.40404040404040403,0.39932885906040266
300,307,124,308,124,0.40390879478827363,0.4025974025974026
310,318,131,318,127,0.4119496855345912,0.39937106918238996
320,328,138,328,133,0.42073170731707316,0.4054878048780488
330,338,141,338,137,0.4171597633136095,0.40532544378698226
340,349,147,348,142,0.42120343839541546,0.40804597701149425
350,359,153,358,147,0.42618384401114207,0.4106145251396648
360,369,157,368,151,0.4254742547425474,0.41032608695652173
370,379,160,378,156,0.42216358839050133,0.4126984126984127
